City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,motygino,58.1831,94.7592,43.32,61,37,4.59,RU,1623258134
188,cayenne,4.9333,-52.3333,77.04,91,75,14.07,GF,1623258006
189,sao gabriel da cachoeira,-0.1303,-67.0892,75.18,95,98,2.26,BR,1623258134
190,merauke,-8.4667,140.3333,76.42,89,55,9.93,ID,1623257492
191,cherskiy,68.75,161.3,36.61,84,100,1.86,RU,1623257819
192,westport,41.1415,-73.3579,91.36,71,88,1.01,US,1623257697
193,vitry-le-francois,48.7333,4.5833,78.93,80,78,7.31,FR,1623258134
194,warwick,41.7001,-71.4162,93.4,64,75,8.05,US,1623258135
195,salta,-24.7859,-65.4117,67.57,53,20,1.01,AR,1623257939
196,dolores,-36.3132,-57.6792,61.25,81,88,10.69,AR,1623258135
197,matagami,49.7502,-77.6328,60.82,32,97,10.87,CA,1623258135
198,upernavik,72.7868,-56.1549,35.26,90,92,2.86,GL,1623257697
199,puerto carreno,6.189,-67.4859,87.55,59,96,1.61,CO,1623258136
200,kindu,-2.95,25.95,77.86,64,48,0.78,CD,1623258136
201,inirida,3.8653,-67.9239,75.78,93,100,2.77,CO,1623258137
202,selma,36.5708,-119.6121,71.04,46,0,6.89,US,1623258137
203,quixada,-4.9714,-39.0153,87.82,47,98,6.17,BR,1623258137
204,birjand,32.8663,59.2211,82.54,18,0,8.12,IR,1623258137
205,ahwa,20.75,73.6833,76.41,83,59,8.01,IN,1623258138
206,beringovskiy,63.05,179.3167,41.05,89,100,2.24,RU,1623257763
207,liberty,31.8335,-81.5004,90.27,39,24,3.96,US,1623258138
208,luderitz,-26.6481,15.1594,61.47,73,0,9.06,NA,1623257749
209,yellowknife,62.456,-114.3525,55.92,62,20,16.11,CA,1623257676
210,faanui,-16.4833,-151.75,80.02,79,89,13.71,PF,1623257745
211,san pedro carcha,15.4833,-90.2667,72.0,86,85,2.93,GT,1623258138
212,surt,31.2089,16.5887,73.44,64,78,10.2,LY,1623258139
213,babstovo,48.1167,132.4833,66.22,79,100,3.06,RU,1623258139
214,labuhan,-6.8844,112.2051,78.42,84,33,3.58,ID,1623257811
215,coihaique,-45.5752,-72.0662,39.18,98,99,5.57,CL,1623258139
216,port augusta,-32.5,137.7667,44.71,61,42,18.39,AU,1623258140
217,palmerston,-12.486,130.9833,73.38,50,71,8.28,AU,1623258008
218,snezhnogorsk,69.1933,33.2531,69.58,76,96,2.71,RU,1623258140
219,bereda,43.2686,-7.5406,70.57,74,3,7.7,ES,1623258140
220,east london,-33.0153,27.9116,59.94,58,0,3.44,ZA,1623257721
221,jalu,29.0331,21.5482,90.14,19,4,20.13,LY,1623257692
222,riyadh,24.6877,46.7219,105.85,6,0,6.91,SA,1623257716
223,kyren,51.6828,102.1408,56.44,51,31,2.3,RU,1623258141
224,amahai,-3.3333,128.9167,77.76,88,96,2.37,ID,1623258141
225,mexico,15.0646,120.7198,78.15,95,100,2.15,PH,1623258141
226,gera,50.8803,12.0819,77.86,56,76,5.5,DE,1623257913
227,cooma,-36.2333,149.1333,31.77,100,90,2.48,AU,1623258142
228,quang ngai,15.1167,108.8,78.22,77,100,4.85,VN,1623258142
229,gizo,-8.103,156.8419,81.88,77,100,7.43,SB,1623258142
230,eregli,37.5133,34.0467,70.18,42,93,9.53,TR,1623258142
231,alappuzha,9.49,76.3264,81.12,80,98,10.13,IN,1623258143
232,whittlesea,-32.1759,26.8244,51.26,54,27,2.24,ZA,1623258143
233,koroni,36.8,21.95,70.07,71,32,11.83,GR,1623258143
234,pontianak,-0.0333,109.3333,76.98,94,90,0.38,ID,1623257902
235,egvekinot,66.3167,-179.1667,30.31,76,92,6.33,RU,1623258144
236,kununurra,-15.7667,128.7333,67.98,34,86,6.91,AU,1623257807
